X,SL_YN,Temp,Calls,Talk_Time
103,1,78.3,21523,728
104,1,50.4,21527,709
105,1,58.6,21697,718
106,1,54,21704,750
107,1,66.9,21863,781
108,0,48.9,21867,932
109,1,39.7,21950,713
110,1,49.5,22080,655
111,1,50.8,22118,702
112,1,75.9,22155,732
113,1,49.5,22263,728
114,1,49,22315,652
115,1,59.1,22361,653
116,0,70.1,22365,687
117,1,37.1,22478,665
118,1,39.3,22509,698
119,1,75.4,22584,794
120,0,44.5,22732,862
121,1,36.2,22747,917
122,1,46.6,22748,747
123,1,74.8,22847,772
124,0,47,22896,847
125,1,73.1,23032,688
126,1,49.6,23139,629
127,1,21.5,23181,967
128,1,57.6,23215,667
129,1,54.9,23277,727
130,1,48.1,23373,658
131,1,34.9,23393,741
132,0,23,23433,1326
133,1,69.6,23453,660
134,1,46,23573,643
135,1,36.2,23607,755
136,1,41,23678,603
137,0,41.7,23749,629
138,0,49,23866,846
139,1,84.1,23889,768
140,1,40.6,24121,735
141,1,51.7,24137,667
142,0,44.4,24225,746
143,1,36.3,24231,761
144,1,60,24263,817
145,1,51.7,24292,1040
146,1,69.8,24332,722
147,1,64.8,24466,761
148,1,71.7,24757,756
149,0,58.6,25298,723
150,1,72.6,25342,674
151,1,47.9,25439,579
152,1,69.1,25508,713
153,0,62.8,25517,762
154,0,31.6,25615,1018
155,0,28.8,25617,947
156,0,24.9,26042,990
157,1,32.3,26401,599
158,1,74.8,26548,782
159,1,57.1,27368,673
160,1,41,27382,821
161,1,71.7,27634,739
162,1,53.6,27749,644
163,0,34,28023,855
164,1,71.2,28248,809
165,0,24.8,28576,1117
